ITEM-ID	DESC-1	DESC-2	VEND-ID	VEND-ITEM-ID	PROD-CLS	KEYWORD	STK-UOM	CST-UOM	PRC-UOM	TYPE	CHARACTERISTICS	BUYER-CD	ALW-SLS-HIST	ALW-SERIALIZED	WARRANTY ITEM	ALW-PERC-LVL-ADJ	ALW-COMMIS	ALW-LOT-INVEN	MFG-PUR-REP-SURCHG	PHANTOM	ALW-MODEL-ITEM	ALW-BACKFLUSH	REV-DT	EFF-DT	WGT-UOM	STD-CSTIML	COMMIS-PERC	UNT-WGT
141668              	GUSSET                   	REV. A                   	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	        	      	0	0	1
141836              	CONSOLE WLDMT LOWER RR   	                         	      	                    	FGIN	FINISHED GOODS 	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	10/17/1990	LB    	0	5	1
142/00540           	GAITER PLATE             	REV 3                    	      	                    	FGIN	JCB            	EA    	EA    	EA    	3	                              	PLT	Y	Y	N	N	Y	N	M	N	N	N	        	4/21/2005	      	1.44	0	0
14204-0006          	BKT                      	PO1                      	      	                    	FGIN	FINISHED GOODS 	EA    	EA    	EA    	  	                              	   	Y	 	 	N	Y	 	M	 	 	 	11/10/1988	        	LB    	0	5	1
14204-0007          	BKT                      	PO1                      	      	                    	FGIN	FINISHED GOODS 	EA    	EA    	EA    	  	                              	   	Y	 	 	N	Y	 	M	 	 	 	11/10/1988	        	LB    	0	5	1
142156              	PLATE FRAME RH           	REV G                    	      	                    	FGIN	FINISHED GOODS 	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	11/7/1991	      	0	5	1
142157              	PLATE FRAME LH SIDE      	REV G                    	      	                    	FGIN	FINISHED GOODS 	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	11/7/1991	      	0	5	1
142196              	"ROLLER, SUPPORT-BATTERY  "	ISSUE B                  	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	6/4/1992	      	0	0	1
142381              	MT WELDMENT CONSOLE      	                         	      	                    	FGIN	FINISHED GOODS 	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	10/17/1990	LB    	0	5	1
1430044H1           	GUARD-FAN RH             	                         	      	                    	PART	FINISHED GOODS 	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	8/20/1991	      	0	5	1
1430045H1           	GUARD FAN LH             	                         	      	                    	FGIN	KOMATSU DRESSER	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	8/20/1991	      	0	5	1
1430046H91          	SHROUD WLDMT. RAD        	                         	      	                    	FGIN	FINISHED GOODS 	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	8/20/1991	      	0	5	1
1430047H1           	SHROUD                   	                         	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	N	 	M	 	 	 	        	8/31/1991	      	0	0	1
14301-0011          	PANEL                    	                         	      	                    	FGIN	FINISHED GOODS 	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	12/18/1990	        	LB    	0	5	1
14301-0014          	PANEL-TEC MODULE         	REV                      	      	                    	FGIN	FINISHED GOODS 	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	1/25/1981	10/2/1993	      	0	0	1
14301-0021          	PANEL - TEC MODULE BLISS 	REV                      	      	                    	FGIN	VOLVO          	EA    	EA    	EA    	  	TOOL AT BLISS MFG.            	   	Y	 	 	 	Y	 	M	 	 	 	1/25/1981	10/2/1993	      	0	0	1
14301-0024          	PANEL-TEC MODULE         	P02                      	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	        	      	0	0	1
14301-0025          	"PANEL-TEC MODULE,BLISS   "	PO3 EOQ 50 3 BL          	      	                    	FGIN	VOLVO          	EA    	EA    	EA    	  	TOOL AT BLISS MFG.            	496	Y	 	 	 	Y	 	M	 	 	 	12/10/1991	        	      	25.05	5	1
14301-0027          	PANEL TEC                	P03                      	221501	TECPANEL REWORK     	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	1/12/1993	1/12/1993	      	0	5	1
14301-0033          	PANEL TEC                	P 02                     	      	                    	FGIN	FINISHED GOODS 	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	3/2/1993	1/12/1993	      	0	5	1
14301-0035          	CASE/PNL-TEC             	REV P02; T684215         	      	                    	FGIN	FINISHED GOODS 	EA    	EA    	EA    	  	                              	AA 	Y	 	 	 	Y	 	M	 	 	 	7/26/1994	        	      	4.07	5	1
14301-0035-1        	JUNCTION BLOCK           	P03 GOO916               	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	N	 	M	 	 	 	        	9/30/1994	      	0	0	0
14301-3605          	TEC PANEL                	06 C00277                	      	                    	FGIN	FINISHED GOODS 	EA    	EA    	EA    	  	                              	AA 	Y	 	 	 	Y	 	M	 	 	 	        	7/16/1994	      	0	5	0
14301-3801          	CASE/PANEL-TEC MODULE    	P 07 C00277              	      	                    	FGIN	FINISHED GOODS 	EA    	EA    	EA    	  	                              	AA 	Y	 	 	 	Y	 	M	 	 	 	        	8/24/1993	      	0	5	1
14301-3801-1        	CASE/PANEL-TEC MODULE    	P 07 C00277              	      	                    	PART	COMPONENT      	E     	E     	E     	  	                              	OS 	Y	 	 	 	Y	 	M	 	 	 	        	        	      	0	0	1
1430116H1           	STEP TANDEM LOWER        	                         	      	                    	FGIN	FINISHED GOODS 	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	4/3/1992	      	0	5	1
1430117H1           	STEP TANDEM UPPER        	REV B 66221P             	      	                    	FGIN	KOMATSU DRESSER	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	9/12/1994	8/31/1993	      	0	5	1
1430279H1           	COVER                    	                         	      	                    	FGIN	FINISHED GOODS 	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	10/2/1991	      	0	5	1
1430280H1           	ANGLE                    	                         	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	5/7/1992	      	0	0	1
1430281H1           	ANGLE                    	                         	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	5/7/1992	      	0	0	1
1430282H1           	GUSSET                   	                         	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	5/7/1992	      	0	0	1
1430283H91          	"BRACKET, ENGINE MTG.     "	                         	      	                    	FGIN	FINISHED GOODS 	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	5/7/1992	      	0	5	1
1430284H91          	"BRACKET, ENGINE MTG.     "	                         	      	                    	FGIN	FINISHED GOODS 	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	5/7/1992	      	0	5	1
1430285H1           	COVER                    	                         	      	                    	FGIN	FINISHED GOODS 	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	10/2/1991	      	0	5	1
1430327H1           	BRCKET                   	                         	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	N	 	M	 	 	 	        	10/4/1991	      	0	0	1
1430328H1           	GUSSET                   	                         	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	N	 	M	 	 	 	        	10/4/1991	      	0	0	1
1430329H91          	DETENT BRTK WLDMENT      	                         	      	                    	FGIN	FINISHED GOODS 	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	10/2/1991	      	0	5	1
1430341H1           	ARM CONTROL              	                         	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	N	 	M	 	 	 	        	10/5/1991	      	0	0	1
1430342H91          	CONTROL ARM WLDMT        	                         	      	                    	FGIN	FINISHED GOODS 	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	10/2/1991	      	0	5	1
1430387H91          	SUPPORT WELDMENT         	                         	      	                    	FGIN	FINISHED GOODS 	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	5/7/1992	      	0	5	1
1430388H1           	"PLATE, SUPPORT           "	                         	      	                    	PART	COMPONENT      	EA    	CWT   	LB    	  	                              	   	Y	 	 	 	N	 	M	 	 	 	        	5/7/1992	      	0	0	1
1430389H1           	SUPPORT                  	                         	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	5/7/1992	      	0	0	1
1430393H1           	SUPPORT WELDMENT         	                         	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	5/7/1992	      	0	0	1
1430394H91          	SUPPORT WELDMENT         	                         	      	                    	FGIN	FINISHED GOODS 	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	5/7/1992	      	0	5	1
1430394H92          	WELDMT SUPP.             	REV-A                    	      	                    	FGIN	FINISHED GOODS 	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	6/23/1992	      	0	5	1
1430660H1           	COVER                    	REV A                    	      	                    	FGIN	FINISHED GOODS 	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	5/7/1992	      	0	5	1
1430666H1           	BRACKET                  	                         	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	5/7/1992	      	0	0	1
1430667H1           	GUSSET                   	                         	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	5/7/1992	      	0	0	1
1430668H91          	DETENT BRACKET WELDMENT  	                         	      	                    	FGIN	FINISHED GOODS 	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	5/7/1992	      	0	5	1
1430675H1           	BRKT OIL FILTER          	REV C REF #66184E        	      	                    	FGIN	KOMATSU        	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	1/18/1994	3/5/1992	      	5.45	5	1
